"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\scroller\scroller_recognizer.dart", "Dart", 352, 14, 73, 439
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\settings.dart", "Dart", 24, 4, 10, 38
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\sub_settings\all.dart", "Dart", 5, 0, 0, 5
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\sub_settings\app.dart", "Dart", 84, 7, 11, 102
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\sub_settings\arena.dart", "Dart", 62, 8, 17, 87
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\sub_settings\game.dart", "Dart", 56, 8, 12, 76
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\sub_settings\images.dart", "Dart", 45, 10, 13, 68
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\settings\sub_settings\scroll.dart", "Dart", 76, 10, 23, 109
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\stage.dart", "Dart", 123, 2, 18, 143
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\themer.dart", "Dart", 130, 6, 21, 157
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\tutorial.dart", "Dart", 311, 11, 50, 372
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\main.dart", "Dart", 104, 6, 19, 129
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\achievements\achievement.dart", "Dart", 200, 25, 46, 271
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\achievements\all.dart", "Dart", 2, 0, 0, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\achievements\ui.dart", "Dart", 103, 1, 17, 121
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\all.dart", "Dart", 8, 0, 0, 8
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\app_model\all.dart", "Dart", 1, 0, 1, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\app_model\pages.dart", "Dart", 71, 0, 15, 86
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\changelog\model.dart", "Dart", 22, 0, 8, 30
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\all.dart", "Dart", 10, 3, 0, 13
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\commander_settings.dart", "Dart", 50, 10, 9, 69
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_action.dart", "Dart", 33, 6, 20, 59
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\all.dart", "Dart", 6, 0, 1, 7
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\ga_cast.dart", "Dart", 29, 0, 5, 34
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\ga_composite.dart", "Dart", 7, 0, 3, 10
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\ga_counter.dart", "Dart", 40, 0, 6, 46
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\ga_damage.dart", "Dart", 48, 0, 5, 53
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\ga_life.dart", "Dart", 29, 0, 5, 34
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_actions\ga_null.dart", "Dart", 13, 0, 5, 18
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\game_state.dart", "Dart", 155, 13, 37, 205
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\history_model.dart", "Dart", 183, 2, 10, 195
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player.dart", "Dart", 178, 19, 50, 247
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_action.dart", "Dart", 81, 4, 15, 100
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\all.dart", "Dart", 6, 0, 0, 6
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\pa_cast.dart", "Dart", 36, 0, 7, 43
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\pa_combined.dart", "Dart", 21, 0, 5, 26
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\pa_counter.dart", "Dart", 55, 0, 12, 67
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\pa_damage.dart", "Dart", 48, 0, 7, 55
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\pa_life.dart", "Dart", 32, 0, 7, 39
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_actions\pa_null.dart", "Dart", 12, 0, 6, 18
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\player_state.dart", "Dart", 225, 18, 47, 290
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\types\all.dart", "Dart", 3, 0, 1, 4
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\types\commander.dart", "Dart", 37, 1, 10, 48
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\types\counters.dart", "Dart", 163, 28, 22, 213
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\game_model\types\damage_type.dart", "Dart", 21, 0, 3, 24
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\leaderboards\all.dart", "Dart", 2, 0, 0, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\leaderboards\custom_stats.dart", "Dart", 58, 8, 27, 93
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\leaderboards\past_game.dart", "Dart", 141, 9, 12, 162
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\mtg_model\all.dart", "Dart", 3, 0, 0, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\mtg_model\card.dart", "Dart", 703, 55, 135, 893
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\mtg_model\color_data.dart", "Dart", 96, 1, 17, 114
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\mtg_model\scryfall_api.dart", "Dart", 87, 4, 37, 128
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\mtg_model\set.dart", "Dart", 85, 3, 8, 96
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\random\all.dart", "Dart", 3, 0, 0, 3
